;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 06-Feb-18 02:02:26 AM
;----------------------------------------------

;Address Opcode 	ASM
0x0336	0x0856      	MOVF       FARG_memset_n, 0
0x0337	0x00F0      	MOVWF      R0
0x0338	0x0857      	MOVF       FARG_memset_n+1, 0
0x0339	0x00F1      	MOVWF      R0+1
0x033A	0x3001      	MOVLW      1
0x033B	0x02D6      	SUBWF      FARG_memset_n, 1
0x033C	0x1C03      	BTFSS      STATUS, 0
0x033D	0x03D7      	DECF       FARG_memset_n+1, 1
0x033E	0x0870      	MOVF       R0, 0
0x033F	0x0471      	IORWF      R0+1, 0
0x0340	0x1903      	BTFSC      STATUS, 2
0x0341	0x2B48      	GOTO       L_memset21
;__Lib_CString.c,82 :: 		
0x0342	0x0872      	MOVF       R2, 0
0x0343	0x0084      	MOVWF      FSR
0x0344	0x0855      	MOVF       FARG_memset_character, 0
0x0345	0x0080      	MOVWF      INDF
0x0346	0x0AF2      	INCF       R2, 1
0x0347	0x2B36      	GOTO       L_memset20
L_memset21:
;__Lib_CString.c,83 :: 		
0x0348	0x0854      	MOVF       FARG_memset_p1, 0
0x0349	0x00F0      	MOVWF      R0
;__Lib_CString.c,84 :: 		
L_end_memset:
0x034A	0x0008      	RETURN
; end of _memset
_ADDOption:
;MyProject.c,66 :: 		void ADDOption(){
;MyProject.c,67 :: 		if(strcmp(strstr(string,"ADD"),"ADD")==0)
0x034B	0x30B8      	MOVLW      _string
0x034C	0x1683      	BSF        STATUS, 5
0x034D	0x1303      	BCF        STATUS, 6
0x034E	0x00D4      	MOVWF      FARG_strstr_s1
0x034F	0x3046      	MOVLW      ?lstr12_MyProject
0x0350	0x00D5      	MOVWF      FARG_strstr_s2
0x0351	0x2306      	CALL       _strstr
0x0352	0x0870      	MOVF       R0, 0
0x0353	0x00D4      	MOVWF      FARG_strcmp_s1
0x0354	0x3042      	MOVLW      ?lstr13_MyProject
0x0355	0x00D5      	MOVWF      FARG_strcmp_s2
0x0356	0x229E      	CALL       _strcmp
0x0357	0x3000      	MOVLW      0
0x0358	0x0671      	XORWF      R0+1, 0
0x0359	0x1D03      	BTFSS      STATUS, 2
0x035A	0x2B5D      	GOTO       L__ADDOption39
0x035B	0x3000      	MOVLW      0
0x035C	0x0670      	XORWF      R0, 0
L__ADDOption39:
0x035D	0x1D03      	BTFSS      STATUS, 2
0x035E	0x2BB1      	GOTO       L_ADDOption8
;MyProject.c,69 :: 		Lcd_Out(2,1,strstr(string,"ADD"));
0x035F	0x30B8      	MOVLW      _string
0x0360	0x00D4      	MOVWF      FARG_strstr_s1
0x0361	0x302C      	MOVLW      ?lstr14_MyProject
0x0362	0x00D5      	MOVWF      FARG_strstr_s2
0x0363	0x2306      	CALL       _strstr
0x0364	0x0870      	MOVF       R0, 0
0x0365	0x00D6      	MOVWF      FARG_Lcd_Out_text
0x0366	0x3002      	MOVLW      2
0x0367	0x00D4      	MOVWF      FARG_Lcd_Out_row
0x0368	0x3001      	MOVLW      1
0x0369	0x00D5      	MOVWF      FARG_Lcd_Out_column
0x036A	0x22BE      	CALL       _Lcd_Out
;MyProject.c,70 :: 		while(strcmp(strstr(string,"START"),"START")!=0)
L_ADDOption9:
0x036B	0x1683      	BSF        STATUS, 5
0x036C	0x1303      	BCF        STATUS, 6
0x036D	0x30B8      	MOVLW      _string
0x036E	0x00D4      	MOVWF      FARG_strstr_s1
0x036F	0x3026      	MOVLW      ?lstr15_MyProject
0x0370	0x00D5      	MOVWF      FARG_strstr_s2
0x0371	0x2306      	CALL       _strstr
0x0372	0x0870      	MOVF       R0, 0
0x0373	0x00D4      	MOVWF      FARG_strcmp_s1
0x0374	0x3020      	MOVLW      ?lstr16_MyProject
0x0375	0x00D5      	MOVWF      FARG_strcmp_s2
0x0376	0x229E      	CALL       _strcmp
0x0377	0x3000      	MOVLW      0
0x0378	0x0671      	XORWF      R0+1, 0
0x0379	0x1D03      	BTFSS      STATUS, 2
0x037A	0x2B7D      	GOTO       L__ADDOption40
0x037B	0x3000      	MOVLW      0
0x037C	0x0670      	XORWF      R0, 0
L__ADDOption40:
0x037D	0x1903      	BTFSC      STATUS, 2
0x037E	0x2BB1      	GOTO       L_ADDOption10
;MyProject.c,72 :: 		ReadFromUART();
0x037F	0x21FE      	CALL       _ReadFromUART
;MyProject.c,75 :: 		if(strcmp(strstr(string,"START"),"START")==0)
0x0380	0x30B8      	MOVLW      _string
0x0381	0x1683      	BSF        STATUS, 5
0x0382	0x00D4      	MOVWF      FARG_strstr_s1
0x0383	0x3030      	MOVLW      ?lstr17_MyProject
0x0384	0x00D5      	MOVWF      FARG_strstr_s2
0x0385	0x2306      	CALL       _strstr
0x0386	0x0870      	MOVF       R0, 0
0x0387	0x00D4      	MOVWF      FARG_strcmp_s1
0x0388	0x303C      	MOVLW      ?lstr18_MyProject
0x0389	0x00D5      	MOVWF      FARG_strcmp_s2
0x038A	0x229E      	CALL       _strcmp
0x038B	0x3000      	MOVLW      0
0x038C	0x0671      	XORWF      R0+1, 0
0x038D	0x1D03      	BTFSS      STATUS, 2
0x038E	0x2B91      	GOTO       L__ADDOption41
0x038F	0x3000      	MOVLW      0
0x0390	0x0670      	XORWF      R0, 0
L__ADDOption41:
0x0391	0x1D03      	BTFSS      STATUS, 2
0x0392	0x2BB0      	GOTO       L_ADDOption11
;MyProject.c,78 :: 		Lcd_Cmd(_LCD_CLEAR);
0x0393	0x3001      	MOVLW      1
0x0394	0x00DB      	MOVWF      FARG_Lcd_Cmd_out_char
0x0395	0x2121      	CALL       _Lcd_Cmd
;MyProject.c,79 :: 		Lcd_Out(2,1,strstr(string,"START"));
0x0396	0x30B8      	MOVLW      _string
0x0397	0x1683      	BSF        STATUS, 5
0x0398	0x00D4      	MOVWF      FARG_strstr_s1
0x0399	0x3036      	MOVLW      ?lstr19_MyProject
0x039A	0x00D5      	MOVWF      FARG_strstr_s2
0x039B	0x2306      	CALL       _strstr
0x039C	0x0870      	MOVF       R0, 0
0x039D	0x00D6      	MOVWF      FARG_Lcd_Out_text
0x039E	0x3002      	MOVLW      2
0x039F	0x00D4      	MOVWF      FARG_Lcd_Out_row
0x03A0	0x3001      	MOVLW      1
0x03A1	0x00D5      	MOVWF      FARG_Lcd_Out_column
0x03A2	0x22BE      	CALL       _Lcd_Out
;MyProject.c,80 :: 		memset(string,0,sizeof(string));
0x03A3	0x30B8      	MOVLW      _string
0x03A4	0x00D4      	MOVWF      FARG_memset_p1
0x03A5	0x01D5      	CLRF       FARG_memset_character
0x03A6	0x3010      	MOVLW      16
0x03A7	0x00D6      	MOVWF      FARG_memset_n
0x03A8	0x3000      	MOVLW      0
0x03A9	0x00D7      	MOVWF      FARG_memset_n+1
0x03AA	0x2332      	CALL       _memset
;MyProject.c,81 :: 		Lcd_Cmd(_LCD_CLEAR);
0x03AB	0x3001      	MOVLW      1
0x03AC	0x00DB      	MOVWF      FARG_Lcd_Cmd_out_char
0x03AD	0x2121      	CALL       _Lcd_Cmd
;MyProject.c,83 :: 		WriteInEEPROM();
0x03AE	0x2260      	CALL       _WriteInEEPROM
;MyProject.c,85 :: 		break;
0x03AF	0x2BB1      	GOTO       L_ADDOption10
;MyProject.c,86 :: 		}
L_ADDOption11:
;MyProject.c,90 :: 		}
0x03B0	0x2B6B      	GOTO       L_ADDOption9
L_ADDOption10:
;MyProject.c,93 :: 		}
L_ADDOption8:
;MyProject.c,94 :: 		}
L_end_ADDOption:
0x03B1	0x0008      	RETURN
; end of _ADDOption
_UART1_Init:
;__Lib_UART_c67.c,2 :: 		
;__Lib_UART_c67.c,5 :: 		
0x03B2	0x1683      	BSF        STATUS, 5
0x03B3	0x1303      	BCF        STATUS, 6
0x03B4	0x1698      	BSF        TXSTA, 5
;__Lib_UART_c67.c,6 :: 		
0x03B5	0x3090      	MOVLW      144
0x03B6	0x1283      	BCF        STATUS, 5
0x03B7	0x0098      	MOVWF      RCSTA
;__Lib_UART_c67.c,7 :: 		
0x03B8	0x1683      	BSF        STATUS, 5
0x03B9	0x1787      	BSF        TRISC7_bit, BitPos(TRISC7_bit+0)
;__Lib_UART_c67.c,8 :: 		
0x03BA	0x1307      	BCF        TRISC6_bit, BitPos(TRISC6_bit+0)
;__Lib_UART_c67.c,10 :: 		
L_UART1_Init0:
0x03BB	0x1283      	BCF        STATUS, 5
0x03BC	0x1E8C      	BTFSS      PIR1, 5
0x03BD	0x2BC1      	GOTO       L_UART1_Init1
;__Lib_UART_c67.c,11 :: 		
0x03BE	0x081A      	MOVF       RCREG, 0
0x03BF	0x00F0      	MOVWF      R0
0x03C0	0x2BBB      	GOTO       L_UART1_Init0
L_UART1_Init1:
;__Lib_UART_c67.c,12 :: 		
L_end_UART1_Init:
0x03C1	0x0008      	RETURN
; end of _UART1_Init
___CC2DW:
;__Lib_System.c,134 :: 		
;__Lib_System.c,137 :: 		
_CC2D_Loop1:
;__Lib_System.c,139 :: 		
0x03C2	0x22FF      	CALL       _____DoICP
0x03C3	0x118A      	BCF        PCLATH, 3
0x03C4	0x120A      	BCF        PCLATH, 4
;__Lib_System.c,141 :: 		
0x03C5	0x0080      	MOVWF      INDF
;__Lib_System.c,142 :: 		
0x03C6	0x0A84      	INCF       FSR, 1
;__Lib_System.c,143 :: 		
0x03C7	0x0AD2      	INCF       ___DoICPAddr, 1
;__Lib_System.c,145 :: 		
0x03C8	0x1903      	BTFSC      STATUS, 2
;__Lib_System.c,146 :: 		
0x03C9	0x0AD3      	INCF       ___DoICPAddr+1, 1
;__Lib_System.c,147 :: 		
0x03CA	0x03F0      	DECF       R0, 1
;__Lib_System.c,149 :: 		
0x03CB	0x1D03      	BTFSS      STATUS, 2
;__Lib_System.c,150 :: 		
0x03CC	0x2BC2      	GOTO       _CC2D_Loop1
;__Lib_System.c,152 :: 		
L_end___CC2DW:
0x03CD	0x0008      	RETURN
; end of ___CC2DW
_Lcd_Init:
;__Lib_Lcd.c,84 :: 		
;__Lib_Lcd.c,86 :: 		
0x03CE	0x1683      	BSF        STATUS, 5
0x03CF	0x1303      	BCF        STATUS, 6
0x03D0	0x1288      	BCF        LCD_EN_Direction, BitPos(LCD_EN_Direction+0)
;__Lib_Lcd.c,87 :: 		
0x03D1	0x1208      	BCF        LCD_RS_Direction, BitPos(LCD_RS_Direction+0)
;__Lib_Lcd.c,88 :: 		
0x03D2	0x1008      	BCF        LCD_D4_Direction, BitPos(LCD_D4_Direction+0)
;__Lib_Lcd.c,89 :: 		
0x03D3	0x1088      	BCF        LCD_D5_Direction, BitPos(LCD_D5_Direction+0)
;__Lib_Lcd.c,90 :: 		
0x03D4	0x1108      	BCF        LCD_D6_Direction, BitPos(LCD_D6_Direction+0)
;__Lib_Lcd.c,91 :: 		
0x03D5	0x1188      	BCF        LCD_D7_Direction, BitPos(LCD_D7_Direction+0)
;__Lib_Lcd.c,93 :: 		
0x03D6	0x1283      	BCF        STATUS, 5
0x03D7	0x1288      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,94 :: 		
0x03D8	0x1208      	BCF        LCD_RS, BitPos(LCD_RS+0)
;__Lib_Lcd.c,95 :: 		
0x03D9	0x1188      	BCF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,96 :: 		
0x03DA	0x1108      	BCF        LCD_D6, BitPos(LCD_D6+0)
;__Lib_Lcd.c,97 :: 		
0x03DB	0x1088      	BCF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,98 :: 		
0x03DC	0x1008      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,100 :: 		
0x03DD	0x20DE      	CALL       _Delay_5500us
;__Lib_Lcd.c,101 :: 		
0x03DE	0x20DE      	CALL       _Delay_5500us
;__Lib_Lcd.c,102 :: 		
0x03DF	0x20DE      	CALL       _Delay_5500us
;__Lib_Lcd.c,105 :: 		
0x03E0	0x1488      	BSF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,106 :: 		
0x03E1	0x1408      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,107 :: 		
0x03E2	0x1688      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,108 :: 		
0x03E3	0x20EB      	CALL       _Delay_1us
;__Lib_Lcd.c,109 :: 		
0x03E4	0x1288      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,110 :: 		
0x03E5	0x20DE      	CALL       _Delay_5500us
;__Lib_Lcd.c,112 :: 		
0x03E6	0x1688      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,113 :: 		
0x03E7	0x20EB      	CALL       _Delay_1us
;__Lib_Lcd.c,114 :: 		
0x03E8	0x1288      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,115 :: 		
0x03E9	0x20DE      	CALL       _Delay_5500us
;__Lib_Lcd.c,117 :: 		
0x03EA	0x1688      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,118 :: 		
0x03EB	0x20EB      	CALL       _Delay_1us
;__Lib_Lcd.c,119 :: 		
0x03EC	0x1288      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,120 :: 		
0x03ED	0x20DE      	CALL       _Delay_5500us
;__Lib_Lcd.c,123 :: 		
0x03EE	0x1008      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,124 :: 		
0x03EF	0x1688      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,125 :: 		
0x03F0	0x20EB      	CALL       _Delay_1us
;__Lib_Lcd.c,126 :: 		
0x03F1	0x1288      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,127 :: 		
0x03F2	0x20DE      	CALL       _Delay_5500us
;__Lib_Lcd.c,130 :: 		
0x03F3	0x1688      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,131 :: 		
0x03F4	0x20EB      	CALL       _Delay_1us
;__Lib_Lcd.c,132 :: 		
0x03F5	0x1288      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,134 :: 		
0x03F6	0x1088      	BCF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,135 :: 		
0x03F7	0x1588      	BSF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,136 :: 		
0x03F8	0x1688      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,137 :: 		
0x03F9	0x20EB      	CALL       _Delay_1us
;__Lib_Lcd.c,138 :: 		
0x03FA	0x1288      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,139 :: 		
0x03FB	0x20DE      	CALL       _Delay_5500us
;__Lib_Lcd.c,142 :: 		
0x03FC	0x1188      	BCF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,143 :: 		
0x03FD	0x1408      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,144 :: 		
0x03FE	0x1688      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,145 :: 		
0x03FF	0x20EB      	CALL       _Delay_1us
;__Lib_Lcd.c,146 :: 		
0x0400	0x1288      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,148 :: 		
0x0401	0x1008      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,149 :: 		
0x0402	0x1688      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,150 :: 		
0x0403	0x20EB      	CALL       _Delay_1us
;__Lib_Lcd.c,151 :: 		
0x0404	0x1288      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,152 :: 		
0x0405	0x20DE      	CALL       _Delay_5500us
;__Lib_Lcd.c,155 :: 		
0x0406	0x1688      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,156 :: 		
0x0407	0x20EB      	CALL       _Delay_1us
;__Lib_Lcd.c,157 :: 		
0x0408	0x1288      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,159 :: 		
0x0409	0x1408      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,160 :: 		
0x040A	0x1688      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,161 :: 		
0x040B	0x20EB      	CALL       _Delay_1us
;__Lib_Lcd.c,162 :: 		
0x040C	0x1288      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,163 :: 		
0x040D	0x20DE      	CALL       _Delay_5500us
;__Lib_Lcd.c,166 :: 		
0x040E	0x1008      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,167 :: 		
0x040F	0x1688      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,168 :: 		
0x0410	0x20EB      	CALL       _Delay_1us
;__Lib_Lcd.c,169 :: 		
0x0411	0x1288      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,171 :: 		
0x0412	0x1588      	BSF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,172 :: 		
0x0413	0x1508      	BSF        LCD_D6, BitPos(LCD_D6+0)
;__Lib_Lcd.c,173 :: 		
0x0414	0x1488      	BSF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,174 :: 		
0x0415	0x1408      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,175 :: 		
0x0416	0x1688      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,176 :: 		
0x0417	0x20EB      	CALL       _Delay_1us
;__Lib_Lcd.c,177 :: 		
0x0418	0x1288      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,179 :: 		
0x0419	0x20DE      	CALL       _Delay_5500us
;__Lib_Lcd.c,181 :: 		
0x041A	0x1683      	BSF        STATUS, 5
0x041B	0x1450      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,182 :: 		
L_end_Lcd_Init:
0x041C	0x0008      	RETURN
; end of _Lcd_Init
_main:
0x041D	0x253E      	CALL       1342
;MyProject.c,24 :: 		void main() {
;MyProject.c,26 :: 		Lcd_Init();
0x041E	0x23CE      	CALL       _Lcd_Init
;MyProject.c,27 :: 		Lcd_Cmd(_LCD_CURSOR_OFF);
0x041F	0x300C      	MOVLW      12
0x0420	0x00DB      	MOVWF      FARG_Lcd_Cmd_out_char
0x0421	0x2121      	CALL       _Lcd_Cmd
;MyProject.c,28 :: 		Lcd_Cmd(_LCD_CLEAR);
0x0422	0x3001      	MOVLW      1
0x0423	0x1683      	BSF        STATUS, 5
0x0424	0x00DB      	MOVWF      FARG_Lcd_Cmd_out_char
0x0425	0x2121      	CALL       _Lcd_Cmd
;MyProject.c,29 :: 		C1ON_bit = 0;
0x0426	0x1703      	BSF        STATUS, 6
0x0427	0x1387      	BCF        C1ON_bit, BitPos(C1ON_bit+0)
;MyProject.c,30 :: 		C2ON_bit = 0;
0x0428	0x1388      	BCF        C2ON_bit, BitPos(C2ON_bit+0)
;MyProject.c,31 :: 		UART1_Init(9600);
0x0429	0x3033      	MOVLW      51
0x042A	0x1683      	BSF        STATUS, 5
0x042B	0x1303      	BCF        STATUS, 6
0x042C	0x0099      	MOVWF      SPBRG
0x042D	0x1518      	BSF        TXSTA, 2
0x042E	0x23B2      	CALL       _UART1_Init
;MyProject.c,32 :: 		Delay_ms(5);
0x042F	0x300D      	MOVLW      13
0x0430	0x00FC      	MOVWF      R12
0x0431	0x30FB      	MOVLW      251
0x0432	0x00FD      	MOVWF      R13
L_main0:
0x0433	0x0BFD      	DECFSZ     R13, 1
0x0434	0x2C33      	GOTO       L_main0
0x0435	0x0BFC      	DECFSZ     R12, 1
0x0436	0x2C33      	GOTO       L_main0
0x0437	0x0000      	NOP
0x0438	0x0000      	NOP
;MyProject.c,33 :: 		addr=0x00;
0x0439	0x1683      	BSF        STATUS, 5
0x043A	0x01CA      	CLRF       _addr
0x043B	0x01CB      	CLRF       _addr+1
;MyProject.c,34 :: 		j=0;
0x043C	0x01C8      	CLRF       _j
0x043D	0x01C9      	CLRF       _j+1
;MyProject.c,35 :: 		while(1)
L_main1:
;MyProject.c,37 :: 		Lcd_Out(1,1,string);
0x043E	0x3001      	MOVLW      1
0x043F	0x00D4      	MOVWF      FARG_Lcd_Out_row
0x0440	0x3001      	MOVLW      1
0x0441	0x00D5      	MOVWF      FARG_Lcd_Out_column
0x0442	0x30B8      	MOVLW      _string
0x0443	0x00D6      	MOVWF      FARG_Lcd_Out_text
0x0444	0x22BE      	CALL       _Lcd_Out
;MyProject.c,38 :: 		ReadFromUART();
0x0445	0x21FE      	CALL       _ReadFromUART
;MyProject.c,40 :: 		Lcd_Cmd(_LCD_CLEAR);
0x0446	0x3001      	MOVLW      1
0x0447	0x1683      	BSF        STATUS, 5
0x0448	0x00DB      	MOVWF      FARG_Lcd_Cmd_out_char
0x0449	0x2121      	CALL       _Lcd_Cmd
;MyProject.c,41 :: 		Lcd_Out(1,1,string);
0x044A	0x3001      	MOVLW      1
0x044B	0x1683      	BSF        STATUS, 5
0x044C	0x00D4      	MOVWF      FARG_Lcd_Out_row
0x044D	0x3001      	MOVLW      1
0x044E	0x00D5      	MOVWF      FARG_Lcd_Out_column
0x044F	0x30B8      	MOVLW      _string
0x0450	0x00D6      	MOVWF      FARG_Lcd_Out_text
0x0451	0x22BE      	CALL       _Lcd_Out
;MyProject.c,44 :: 		ADDOption();
0x0452	0x234B      	CALL       _ADDOption
;MyProject.c,45 :: 		if(strcmp(strstr(string,"ERASE"),"ERASE")==0){
0x0453	0x30B8      	MOVLW      _string
0x0454	0x1683      	BSF        STATUS, 5
0x0455	0x1303      	BCF        STATUS, 6
0x0456	0x00D4      	MOVWF      FARG_strstr_s1
0x0457	0x30A0      	MOVLW      ?lstr1_MyProject
0x0458	0x00D5      	MOVWF      FARG_strstr_s2
0x0459	0x2306      	CALL       _strstr
0x045A	0x0870      	MOVF       R0, 0
0x045B	0x00D4      	MOVWF      FARG_strcmp_s1
0x045C	0x30B2      	MOVLW      ?lstr2_MyProject
0x045D	0x00D5      	MOVWF      FARG_strcmp_s2
0x045E	0x229E      	CALL       _strcmp
0x045F	0x3000      	MOVLW      0
0x0460	0x0671      	XORWF      R0+1, 0
0x0461	0x1D03      	BTFSS      STATUS, 2
0x0462	0x2C65      	GOTO       L__main34
0x0463	0x3000      	MOVLW      0
0x0464	0x0670      	XORWF      R0, 0
L__main34:
0x0465	0x1D03      	BTFSS      STATUS, 2
0x0466	0x2CAA      	GOTO       L_main3
;MyProject.c,46 :: 		Lcd_Out(2,1,strstr(string,"ERASE"));
0x0467	0x30B8      	MOVLW      _string
0x0468	0x00D4      	MOVWF      FARG_strstr_s1
0x0469	0x30AC      	MOVLW      ?lstr3_MyProject
0x046A	0x00D5      	MOVWF      FARG_strstr_s2
0x046B	0x2306      	CALL       _strstr
0x046C	0x0870      	MOVF       R0, 0
0x046D	0x00D6      	MOVWF      FARG_Lcd_Out_text
0x046E	0x3002      	MOVLW      2
0x046F	0x00D4      	MOVWF      FARG_Lcd_Out_row
0x0470	0x3001      	MOVLW      1
0x0471	0x00D5      	MOVWF      FARG_Lcd_Out_column
0x0472	0x22BE      	CALL       _Lcd_Out
;MyProject.c,47 :: 		while(strcmp(strstr(string,"START"),"START")!=0){
L_main4:
0x0473	0x30B8      	MOVLW      _string
0x0474	0x00D4      	MOVWF      FARG_strstr_s1
0x0475	0x30A6      	MOVLW      ?lstr4_MyProject
0x0476	0x00D5      	MOVWF      FARG_strstr_s2
0x0477	0x2306      	CALL       _strstr
0x0478	0x0870      	MOVF       R0, 0
0x0479	0x00D4      	MOVWF      FARG_strcmp_s1
0x047A	0x3068      	MOVLW      ?lstr5_MyProject
0x047B	0x00D5      	MOVWF      FARG_strcmp_s2
0x047C	0x229E      	CALL       _strcmp
0x047D	0x3000      	MOVLW      0
0x047E	0x0671      	XORWF      R0+1, 0
0x047F	0x1D03      	BTFSS      STATUS, 2
0x0480	0x2C83      	GOTO       L__main35
0x0481	0x3000      	MOVLW      0
0x0482	0x0670      	XORWF      R0, 0
L__main35:
0x0483	0x1903      	BTFSC      STATUS, 2
0x0484	0x2CAA      	GOTO       L_main5
;MyProject.c,48 :: 		ReadFromUART();
0x0485	0x21FE      	CALL       _ReadFromUART
;MyProject.c,50 :: 		if(strcmp(strstr(string,"START"),"START")==0){
0x0486	0x30B8      	MOVLW      _string
0x0487	0x1683      	BSF        STATUS, 5
0x0488	0x00D4      	MOVWF      FARG_strstr_s1
0x0489	0x3056      	MOVLW      ?lstr6_MyProject
0x048A	0x00D5      	MOVWF      FARG_strstr_s2
0x048B	0x2306      	CALL       _strstr
0x048C	0x0870      	MOVF       R0, 0
0x048D	0x00D4      	MOVWF      FARG_strcmp_s1
0x048E	0x3050      	MOVLW      ?lstr7_MyProject
0x048F	0x00D5      	MOVWF      FARG_strcmp_s2
0x0490	0x229E      	CALL       _strcmp
0x0491	0x3000      	MOVLW      0
0x0492	0x0671      	XORWF      R0+1, 0
0x0493	0x1D03      	BTFSS      STATUS, 2
0x0494	0x2C97      	GOTO       L__main36
0x0495	0x3000      	MOVLW      0
0x0496	0x0670      	XORWF      R0, 0
L__main36:
0x0497	0x1D03      	BTFSS      STATUS, 2
0x0498	0x2CA9      	GOTO       L_main6
;MyProject.c,52 :: 		Lcd_Cmd(_LCD_CLEAR);
0x0499	0x3001      	MOVLW      1
0x049A	0x00DB      	MOVWF      FARG_Lcd_Cmd_out_char
0x049B	0x2121      	CALL       _Lcd_Cmd
;MyProject.c,53 :: 		Lcd_Out(2,1,strstr(string,"START"));
0x049C	0x30B8      	MOVLW      _string
0x049D	0x1683      	BSF        STATUS, 5
0x049E	0x00D4      	MOVWF      FARG_strstr_s1
0x049F	0x304A      	MOVLW      ?lstr8_MyProject
0x04A0	0x00D5      	MOVWF      FARG_strstr_s2
0x04A1	0x2306      	CALL       _strstr
0x04A2	0x0870      	MOVF       R0, 0
0x04A3	0x00D6      	MOVWF      FARG_Lcd_Out_text
0x04A4	0x3002      	MOVLW      2
0x04A5	0x00D4      	MOVWF      FARG_Lcd_Out_row
0x04A6	0x3001      	MOVLW      1
0x04A7	0x00D5      	MOVWF      FARG_Lcd_Out_column
0x04A8	0x22BE      	CALL       _Lcd_Out
;MyProject.c,54 :: 		}
L_main6:
;MyProject.c,55 :: 		}
0x04A9	0x2C73      	GOTO       L_main4
L_main5:
;MyProject.c,56 :: 		}
L_main3:
;MyProject.c,57 :: 		if(strcmp(strstr(string,"END"),"END")==0){
0x04AA	0x30B8      	MOVLW      _string
0x04AB	0x00D4      	MOVWF      FARG_strstr_s1
0x04AC	0x305C      	MOVLW      ?lstr9_MyProject
0x04AD	0x00D5      	MOVWF      FARG_strstr_s2
0x04AE	0x2306      	CALL       _strstr
0x04AF	0x0870      	MOVF       R0, 0
0x04B0	0x00D4      	MOVWF      FARG_strcmp_s1
0x04B1	0x3064      	MOVLW      ?lstr10_MyProject
0x04B2	0x00D5      	MOVWF      FARG_strcmp_s2
0x04B3	0x229E      	CALL       _strcmp
0x04B4	0x3000      	MOVLW      0
0x04B5	0x0671      	XORWF      R0+1, 0
0x04B6	0x1D03      	BTFSS      STATUS, 2
0x04B7	0x2CBA      	GOTO       L__main37
0x04B8	0x3000      	MOVLW      0
0x04B9	0x0670      	XORWF      R0, 0
L__main37:
0x04BA	0x1D03      	BTFSS      STATUS, 2
0x04BB	0x2CC8      	GOTO       L_main7
